DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT
            TIME	TIME	ANG_X	ANG_Y	ANG_Z	VEL_X	VEL_Y	VEL_Z	ACC_X	ACC_Y	ACC_Z
            FRAME_NUMBERS	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG
            ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
        ITEM	0	0	x	x	x	x	x	x	x	x	x
1 0.81 81 0.679 -0.182 -0.677 0.004 -0.002 -0.058 -0.703 -1.692 -1.018
1 0.82 82 0.680 -0.174 -0.727 0.002 0.014 -0.089 -0.134 1.584 -3.017
1 0.83 83 0.679 -0.172 -0.751 -0.003 0.003 -0.041 -0.501 -1.139 4.729
1 0.84 84 0.691 -0.157 -0.771 0.020 0.026 -0.034 2.309 2.292 0.740
1 0.85 85 0.693 -0.159 -0.752 0.005 -0.003 0.033 -1.545 -2.827 6.725
1 0.86 86 0.694 -0.151 -0.749 0.001 0.014 0.004 -0.379 1.646 -2.897
1 0.87 87 0.693 -0.145 -0.790 -0.002 0.010 -0.071 -0.309 -0.332 -7.505
1 0.88 88 0.685 -0.131 -0.755 -0.015 0.025 0.060 -1.271 1.429 13.100
1 0.89 89 0.677 -0.113 -0.736 -0.013 0.031 0.034 0.194 0.632 -2.620
1 0.90 90 0.680 -0.107 -0.741 0.005 0.010 -0.010 1.728 -2.052 -4.408
1 0.91 91 0.669 -0.112 -0.747 -0.018 -0.009 -0.009 -2.312 -1.913 0.064
1 0.92 92 0.673 -0.100 -0.768 0.005 0.020 -0.036 2.385 2.912 -2.707
1 0.93 93 0.676 -0.100 -0.810 0.007 0.001 -0.073 0.122 -1.965 -3.700
1 0.94 94 0.681 -0.103 -0.873 0.009 -0.005 -0.111 0.216 -0.608 -3.704
1 0.95 95 0.679 -0.106 -0.884 -0.004 -0.006 -0.019 -1.320 -0.085 9.159
1 0.96 96 0.676 -0.114 -0.897 -0.005 -0.013 -0.022 -0.012 -0.674 -0.340
1 0.97 97 0.680 -0.128 -0.925 0.007 -0.024 -0.049 1.142 -1.143 -2.661
1 0.98 98 0.672 -0.138 -0.947 -0.015 -0.018 -0.039 -2.168 0.624 0.982
1 0.99 99 0.679 -0.126 -0.999 0.013 0.021 -0.090 2.759 3.933 -5.131
1 1.00 100 0.678 -0.119 -0.992 -0.001 0.011 0.012 -1.395 -0.997 10.214
1 1.01 101 0.674 -0.111 -0.940 -0.008 0.015 0.091 -0.679 0.410 7.933
1 1.02 102 0.671 -0.110 -0.925 -0.005 0.001 0.026 0.266 -1.443 -6.549
1 1.03 103 0.664 -0.105 -0.921 -0.012 0.008 0.007 -0.690 0.749 -1.856
1 1.04 104 0.660 -0.105 -0.920 -0.006 -0.000 0.002 0.652 -0.867 -0.486
1 1.05 105 0.664 -0.103 -0.913 0.006 0.003 0.012 1.199 0.361 1.024
1 1.06 106 0.663 -0.102 -0.927 -0.001 0.003 -0.025 -0.751 -0.050 -3.699
1 1.07 107 0.661 -0.100 -0.903 -0.003 0.002 0.041 -0.215 -0.050 6.595
1 1.08 108 0.649 -0.094 -0.848 -0.021 0.011 0.097 -1.808 0.877 5.521
1 1.09 109 0.653 -0.096 -0.829 0.008 -0.004 0.033 2.920 -1.521 -6.349
1 1.10 110 0.646 -0.096 -0.808 -0.014 0.001 0.037 -2.137 0.523 0.428
1 1.11 111 0.647 -0.098 -0.782 0.002 -0.004 0.045 1.575 -0.503 0.758
1 1.12 112 0.651 -0.106 -0.748 0.007 -0.015 0.060 0.514 -1.133 1.529
1 1.13 113 0.657 -0.105 -0.718 0.010 0.002 0.051 0.294 1.748 -0.932
1 1.14 114 0.655 -0.107 -0.717 -0.004 -0.003 0.002 -1.407 -0.507 -4.916
1 1.15 115 0.658 -0.108 -0.740 0.006 -0.003 -0.040 0.972 -0.005 -4.171
1 1.16 116 0.666 -0.111 -0.758 0.015 -0.006 -0.031 0.889 -0.273 0.849
1 1.17 117 0.667 -0.100 -0.786 0.001 0.020 -0.049 -1.406 2.524 -1.745
1 1.18 118 0.669 -0.093 -0.793 0.004 0.013 -0.011 0.307 -0.672 3.759
1 1.19 119 0.667 -0.090 -0.809 -0.003 0.006 -0.028 -0.671 -0.732 -1.677
1 1.20 120 0.645 -0.089 -0.843 -0.038 0.001 -0.059 -3.528 -0.417 -3.130
1 1.21 121 0.639 -0.083 -0.833 -0.012 0.009 0.018 2.619 0.786 7.730
1 1.22 122 0.639 -0.071 -0.806 0.000 0.021 0.047 1.248 1.210 2.939
1 1.23 123 0.625 -0.062 -0.751 -0.024 0.016 0.096 -2.441 -0.553 4.828
1 1.24 124 0.607 -0.073 -0.691 -0.032 -0.020 0.104 -0.809 -3.610 0.886
1 1.25 125 0.592 -0.078 -0.661 -0.026 -0.008 0.053 0.629 1.222 -5.121
1 1.26 126 0.578 -0.085 -0.646 -0.024 -0.012 0.027 0.210 -0.393 -2.657
1 1.27 127 0.557 -0.085 -0.645 -0.038 0.000 0.001 -1.410 1.230 -2.518
1 1.28 128 0.515 -0.070 -0.639 -0.073 0.025 0.009 -3.488 2.493 0.796
1 1.29 129 0.491 -0.068 -0.652 -0.043 0.003 -0.022 2.994 -2.249 -3.173
1 1.30 130 0.476 -0.068 -0.645 -0.027 0.001 0.012 1.610 -0.198 3.463
1 1.31 131 0.453 -0.058 -0.653 -0.039 0.018 -0.013 -1.222 1.724 -2.530
1 1.32 132 0.449 -0.057 -0.645 -0.007 0.000 0.014 3.216 -1.763 2.686
1 1.33 133 0.438 -0.060 -0.651 -0.019 -0.005 -0.011 -1.273 -0.561 -2.515
1 1.34 134 0.431 -0.057 -0.682 -0.012 0.006 -0.054 0.736 1.078 -4.293
1 1.35 135 0.416 -0.076 -0.732 -0.027 -0.033 -0.088 -1.545 -3.862 -3.346
1 1.36 136 0.423 -0.080 -0.746 0.013 -0.007 -0.024 4.094 2.562 6.356
1 1.37 137 0.423 -0.091 -0.738 -0.001 -0.020 0.015 -1.462 -1.220 3.873
1 1.38 138 0.421 -0.096 -0.700 -0.003 -0.008 0.066 -0.190 1.138 5.181
1 1.39 139 0.430 -0.081 -0.686 0.015 0.027 0.024 1.831 3.493 -4.234
1 1.40 140 0.417 -0.080 -0.678 -0.022 0.001 0.014 -3.694 -2.532 -0.982
1 1.41 141 0.412 -0.078 -0.685 -0.010 0.003 -0.013 1.159 0.114 -2.714
1 1.42 142 0.391 -0.073 -0.664 -0.036 0.010 0.036 -2.605 0.736 4.935
1 1.43 143 0.377 -0.084 -0.640 -0.024 -0.021 0.042 1.168 -3.064 0.561
1 1.44 144 0.359 -0.096 -0.644 -0.031 -0.020 -0.007 -0.627 0.040 -4.888
1 1.45 145 0.349 -0.106 -0.635 -0.018 -0.017 0.016 1.300 0.279 2.311
1 1.46 146 0.343 -0.117 -0.615 -0.011 -0.019 0.034 0.716 -0.137 1.783
1 1.47 147 0.340 -0.126 -0.597 -0.005 -0.016 0.033 0.555 0.301 -0.156
1 1.48 148 0.342 -0.126 -0.585 0.003 0.000 0.021 0.847 1.588 -1.149
1 1.49 149 0.343 -0.129 -0.593 0.001 -0.006 -0.015 -0.250 -0.598 -3.597
1 1.50 150 0.351 -0.131 -0.587 0.014 -0.003 0.011 1.308 0.256 2.557
1 1.51 151 0.348 -0.122 -0.580 -0.004 0.016 0.012 -1.797 1.981 0.094
1 1.52 152 0.347 -0.119 -0.596 -0.003 0.005 -0.027 0.098 -1.182 -3.896
1 1.53 153 0.341 -0.116 -0.596 -0.011 0.006 0.001 -0.786 0.177 2.811
1 1.54 154 0.340 -0.115 -0.600 -0.000 0.001 -0.007 1.043 -0.496 -0.824
1 1.55 155 0.341 -0.121 -0.617 0.001 -0.010 -0.029 0.156 -1.144 -2.183
1 1.56 156 0.339 -0.117 -0.638 -0.004 0.006 -0.038 -0.552 1.635 -0.881
